"789","1","campaig_n","countryCode","timezone","countryName","deepk@laudamail.com","parentName","phoneNumber","member0","age0","member1","age1","member2","age2","member3","age3","member4","age4","member5","age5","member6","age6","member7","age7","receivedFromName,phoneCountryCode,phoneNumber|i-threceivedFromName,i-thPhoneCountryCode,i-thPhoneNumber","givenToName,phoneCountryCode,phoneNumber|i-thGivenToName,i-thphoneCountryCode,i-thPhoneNumber","probeHeaderFromAllowedPrompts,probeSummary|i-thProbeHeader,ith-ProbeSummary","eventComment,concatenatedStringOf_date_time_employeeCode,i-th_Appended_eventComment,i-th_Appended_concatenatedStringOf_date_time_employeeCode","invoiceID,i-thInvoiceID","sessionID,cost|appendedIDs,appendedCosts","#End_Of_File"
"789","2","campaig_n","countryCode","timezone","countryName","email","parentName","phoneNumber","member0","age0","member1","age1","member2","age2","member3","age3","member4","age4","member5","age5","member6","age6","member7","age7","receivedFromName,phoneCountryCode,phoneNumber|i-threceivedFromName,i-thPhoneCountryCode,i-thPhoneNumber","givenToName,phoneCountryCode,phoneNumber|i-thGivenToName,i-thphoneCountryCode,i-thPhoneNumber","probeHeaderFromAllowedPrompts,probeSummary|i-thProbeHeader,ith-ProbeSummary","eventComment,concatenatedStringOf_date_time_employeeCode,i-th_Appended_eventComment,i-th_Appended_concatenatedStringOf_date_time_employeeCode","invoiceID,i-thInvoiceID","sessionID,cost|appendedIDs,appendedCosts","#End_Of_File"
"789","3","campaig_n","countryCode","timezone","countryName","email","parentName","phoneNumber","member0","age0","member1","age1","member2","age2","member3","age3","member4","age4","member5","age5","member6","age6","member7","age7","receivedFromName,phoneCountryCode,phoneNumber|i-threceivedFromName,i-thPhoneCountryCode,i-thPhoneNumber","givenToName,phoneCountryCode,phoneNumber|i-thGivenToName,i-thphoneCountryCode,i-thPhoneNumber","probeHeaderFromAllowedPrompts,probeSummary|i-thProbeHeader,ith-ProbeSummary","eventComment,concatenatedStringOf_date_time_employeeCode,i-th_Appended_eventComment,i-th_Appended_concatenatedStringOf_date_time_employeeCode","invoiceID,i-thInvoiceID","sessionID,cost|appendedIDs,appendedCosts","#End_Of_File"
"789","4","campaig_n","countryCode","timezone","countryName","email","parentName","phoneNumber","member0","age0","member1","age1","member2","age2","member3","age3","member4","age4","member5","age5","member6","age6","member7","age7","receivedFromName,phoneCountryCode,phoneNumber|i-threceivedFromName,i-thPhoneCountryCode,i-thPhoneNumber","givenToName,phoneCountryCode,phoneNumber|i-thGivenToName,i-thphoneCountryCode,i-thPhoneNumber","probeHeaderFromAllowedPrompts,probeSummary|i-thProbeHeader,ith-ProbeSummary","eventComment,concatenatedStringOf_date_time_employeeCode,i-th_Appended_eventComment,i-th_Appended_concatenatedStringOf_date_time_employeeCode","invoiceID,i-thInvoiceID","sessionID,cost|appendedIDs,appendedCosts","#End_Of_File"
"789","5","campaig_n","countryCode","timezone","countryName","email","parentName","phoneNumber","member0","age0","member1","age1","member2","age2","member3","age3","member4","age4","member5","age5","member6","age6","member7","age7","receivedFromName,phoneCountryCode,phoneNumber|i-threceivedFromName,i-thPhoneCountryCode,i-thPhoneNumber","givenToName,phoneCountryCode,phoneNumber|i-thGivenToName,i-thphoneCountryCode,i-thPhoneNumber","probeHeaderFromAllowedPrompts,probeSummary|i-thProbeHeader,ith-ProbeSummary","eventComment,concatenatedStringOf_date_time_employeeCode,i-th_Appended_eventComment,i-th_Appended_concatenatedStringOf_date_time_employeeCode","invoiceID,i-thInvoiceID","sessionID,cost|appendedIDs,appendedCosts","#End_Of_File"
"789","6","campaig_n","countryCode","timezone","countryName","email","parentName","phoneNumber","member0","age0","member1","age1","member2","age2","member3","age3","member4","age4","member5","age5","member6","age6","member7","age7","receivedFromName,phoneCountryCode,phoneNumber|i-threceivedFromName,i-thPhoneCountryCode,i-thPhoneNumber","givenToName,phoneCountryCode,phoneNumber|i-thGivenToName,i-thphoneCountryCode,i-thPhoneNumber","probeHeaderFromAllowedPrompts,probeSummary|i-thProbeHeader,ith-ProbeSummary","eventComment,concatenatedStringOf_date_time_employeeCode,i-th_Appended_eventComment,i-th_Appended_concatenatedStringOf_date_time_employeeCode","invoiceID,i-thInvoiceID","sessionID,cost|appendedIDs,appendedCosts","#End_Of_File"
"101","1","campaig_n","countryCode","timezone","countryName","email","parentName","phoneNumber","member0","age0","member1","age1","member2","age2","member3","age3","","","","","","","","","receivedFromName,phoneCountryCode,phoneNumber|i-threceivedFromName,i-thPhoneCountryCode,i-thPhoneNumber","givenToName,phoneCountryCode,phoneNumber|i-thGivenToName,i-thphoneCountryCode,i-thPhoneNumber","probeHeaderFromAllowedPrompts,probeSummary|i-thProbeHeader,ith-ProbeSummary","eventComment,concatenatedStringOf_date_time_employeeCode,i-th_Appended_eventComment,i-th_Appended_concatenatedStringOf_date_time_employeeCode","invoiceID,i-thInvoiceID","sessionID,cost|appendedIDs,appendedCosts","#End_Of_File"
"101","2","campaig_n","countryCode","timezone","countryName","email","parentName","phoneNumber","member0","age0","member1","age1","member2","age2","member3","age3","member4","age4","member5","age5","member6","age6","member7","age7","receivedFromName,phoneCountryCode,phoneNumber|i-threceivedFromName,i-thPhoneCountryCode,i-thPhoneNumber","givenToName,phoneCountryCode,phoneNumber|i-thGivenToName,i-thphoneCountryCode,i-thPhoneNumber","probeHeaderFromAllowedPrompts,probeSummary|i-thProbeHeader,ith-ProbeSummary","eventComment,concatenatedStringOf_date_time_employeeCode,i-th_Appended_eventComment,i-th_Appended_concatenatedStringOf_date_time_employeeCode","invoiceID,i-thInvoiceID","sessionID,cost|appendedIDs,appendedCosts","#End_Of_File"
"101","3","campaig_n","countryCode","timezone","countryName","email","parentName","phoneNumber","member0","age0","member1","age1","member2","age2","member3","age3","member4","age4","member5","age5","member6","age6","member7","age7","receivedFromName,phoneCountryCode,phoneNumber|i-threceivedFromName,i-thPhoneCountryCode,i-thPhoneNumber","givenToName,phoneCountryCode,phoneNumber|i-thGivenToName,i-thphoneCountryCode,i-thPhoneNumber","probeHeaderFromAllowedPrompts,probeSummary|i-thProbeHeader,ith-ProbeSummary","eventComment,concatenatedStringOf_date_time_employeeCode,i-th_Appended_eventComment,i-th_Appended_concatenatedStringOf_date_time_employeeCode","invoiceID,i-thInvoiceID","sessionID,cost|appendedIDs,appendedCosts","#End_Of_File"
"101","4","campaig_n","countryCode","timezone","countryName","email","parentName","phoneNumber","member0","age0","member1","age1","member2","age2","member3","age3","member4","age4","member5","age5","member6","age6","member7","age7","receivedFromName,phoneCountryCode,phoneNumber|i-threceivedFromName,i-thPhoneCountryCode,i-thPhoneNumber","givenToName,phoneCountryCode,phoneNumber|i-thGivenToName,i-thphoneCountryCode,i-thPhoneNumber","probeHeaderFromAllowedPrompts,probeSummary|i-thProbeHeader,ith-ProbeSummary","eventComment,concatenatedStringOf_date_time_employeeCode,i-th_Appended_eventComment,i-th_Appended_concatenatedStringOf_date_time_employeeCode","invoiceID,i-thInvoiceID","sessionID,cost|appendedIDs,appendedCosts","#End_Of_File"
"101","5","campaig_n","countryCode","timezone","countryName","email","parentName","phoneNumber","member0","age0","member1","age1","member2","age2","member3","age3","member4","age4","member5","age5","member6","age6","member7","age7","receivedFromName,phoneCountryCode,phoneNumber|i-threceivedFromName,i-thPhoneCountryCode,i-thPhoneNumber","givenToName,phoneCountryCode,phoneNumber|i-thGivenToName,i-thphoneCountryCode,i-thPhoneNumber","probeHeaderFromAllowedPrompts,probeSummary|i-thProbeHeader,ith-ProbeSummary","eventComment,concatenatedStringOf_date_time_employeeCode,i-th_Appended_eventComment,i-th_Appended_concatenatedStringOf_date_time_employeeCode","invoiceID,i-thInvoiceID","sessionID,cost|appendedIDs,appendedCosts","#End_Of_File"
"101","6","campaig_n","countryCode","timezone","countryName","email","parentName","phoneNumber","member0","age0","member1","age1","member2","age2","member3","age3","member4","age4","member5","age5","member6","age6","member7","age7","receivedFromName,phoneCountryCode,phoneNumber|i-threceivedFromName,i-thPhoneCountryCode,i-thPhoneNumber","givenToName,phoneCountryCode,phoneNumber|i-thGivenToName,i-thphoneCountryCode,i-thPhoneNumber","probeHeaderFromAllowedPrompts,probeSummary|i-thProbeHeader,ith-ProbeSummary","eventComment,concatenatedStringOf_date_time_employeeCode,i-th_Appended_eventComment,i-th_Appended_concatenatedStringOf_date_time_employeeCode","invoiceID,i-thInvoiceID","sessionID,cost|appendedIDs,appendedCosts","#End_Of_File"
"456","2","campaig_usa","countryCode","timezone","countryName","email","parentName_custom","phoneNumber","member0","age0","member1","age1","member2","age2","member3","age3","member4","age4","member5","age5","member6","age6","member7","age7","receivedFromName,phoneCountryCode,phoneNumber|i-threceivedFromName,i-thPhoneCountryCode,i-thPhoneNumber","givenToName,phoneCountryCode,phoneNumber|i-thGivenToName,i-thphoneCountryCode,i-thPhoneNumber","probeHeaderFromAllowedPrompts,probeSummary|i-thProbeHeader,ith-ProbeSummary","eventComment,concatenatedStringOf_date_time_employeeCode,i-th_Appended_eventComment,i-th_Appended_concatenatedStringOf_date_time_employeeCode","invoiceID,i-thInvoiceID","sessionID,cost|appendedIDs,appendedCosts","#End_Of_File"
